Party,Name,Branch,Username,ids
Republican,Pete Sessions,House,PeteSessions,24735461
Democratic,Debbie Dingell,House,RepDebDingell,2970279814
Democratic,Pramila Jayapal,House,RepJayapal,815733290955112448
Republican,Rob Wittman,House,RobWittman,15356407
Democratic,Chellie Pingree,House,chelliepingree,14984637
Democratic,Jon Tester,Senate,SenatorTester,515822213
Democratic,Sheila Cherfilus-McCormick,House,CongresswomanSC,1484252226646421505
Republican,Mike Rounds,Senate,SenatorRounds,2955485182
Democratic,Jahana Hayes,House,RepJahanaHayes,1082086081238102018
Democratic,Tom O'Halleran,House,RepOHalleran,808416682972770304
Republican,Glenn Thompson,House,CongressmanGT,18967498
Republican,Lloyd Smucker,House,RepSmucker,41417564
Democratic,Stephen F. Lynch,House,RepLynch,130901013
Republican,Alex Mooney,House,RepAlexMooney,2964526557
Democratic,Marcy Kaptur,House,RepMarcyKaptur,581141508
Republican,Tom Emmer,House,RepTomEmmer,2914515430
Republican,Jim Inhofe,Senate,JimInhofe,7270292
Republican,Greg Murphy,House,RepGregMurphy,1173978070535024642
Democratic,Tammy Duckworth,Senate,SenDuckworth,1058520120
Democratic,Susie Lee,House,RepSusieLee,1079061579973439488
Democratic,Richard Neal,House,RepRichardNeal,442824717
Republican,Trent Kelly,House,RepTrentKelly,3317799825
Democratic,Elizabeth Warren,Senate,SenWarren,970207298
Democratic,Al Green,House,RepAlGreen,156333623
Democratic,Sheila Jackson Lee,House,JacksonLeeTX18,80612021
Democratic,Marie Newman,House,RepMarieNewman,1343578440977494018
Republican,Steve Chabot,House,RepSteveChabot,237750442
Democratic,James Langevin,House,JimLangevin,18909919
Republican,Morgan Griffith,House,RepMGriffith,234057152
Republican,David Rouzer,House,RepDavidRouzer,834069080
Republican,Andrew Clyde,House,Rep_Clyde,1357017361568694274
Democratic,Kathy Castor,House,USRepKCastor,1880674038
Democratic,Alexandria Ocasio-Cortez,House,AOC,138203134
Republican,Tom Reed,House,TomReedNY23,252819323
Democratic,Mazie Hirono,Senate,maziehirono,92186819
Republican,Bob Latta,House,Boblatta,15394954
Democratic,Pete Aguilar,House,RepPeteAguilar,3018670151
Democratic,Kathleen Rice,House,RepKathleenRice,2970462034
Republican,Neal Dunn,House,DrNealDunnFL2,815952318487298048
Republican,Brett Guthrie,House,RepGuthrie,1908143071
Democratic,Katherine Clark,House,RepKClark,2293131060
Democratic,Mark Kelly,Senate,SenMarkKelly,1324926274888888320
Democratic,Norma Torres,House,NormaJTorres,236279233
Democratic,Ayanna Pressley,House,RepPressley,1080584229510172678
Democratic,Bonnie Watson Coleman,House,RepBonnie,2968451607
Democratic,Jim Costa,House,RepJimCosta,245451804
Republican,Kelly Armstrong,House,Armstrong_ND,964996994623311874
Republican,Andrew Garbarino,House,RepGarbarino,1344349650447433729
Democratic,Patty Murray,Senate,PattyMurray,293131808
Democratic,Dan Kildee,House,RepDanKildee,1045110018
Democratic,Sara Jacobs,House,RepSaraJacobs,1345103905869455361
Democratic,Suzan DelBene,House,RepDelBene,995193054
Republican,William Timmons,House,RepTimmons,1079770852302958592
Democratic,Nanette Barragán,House,RepBarragan,816833925456789505
Democratic,Debbie Stabenow,Senate,SenStabenow,76456274
Republican,Jackie Walorski,House,RepWalorski,1065995022
Republican,Ronny Jackson,House,RepRonnyJackson,1341903465610686464
Democratic,Joe Neguse,House,RepJoeNeguse,1078749802765139968
Republican,Garret Graves,House,RepGarretGraves,2951574214
Republican,Joni Ernst,Senate,SenJoniErnst,2856787757
Democratic,Raúl Grijalva,House,RepRaulGrijalva,28602948
Republican,Mario Díaz-Balart,House,MarioDBCamp,374816353
Democratic,Steven Horsford,House,RepHorsford,389840566
Republican,Tim Scott,Senate,SenatorTimScott,217543151
Republican,John Hoeven,Senate,SenJohnHoeven,382791093
Republican,Rob Portman,Senate,Senrobportman,18915145
Democratic,Dwight Evans,House,RepDwightEvans,90639372
Republican,Tom Rice,House,RepTomRice,1058345042
Democratic,Sean Patrick Maloney,House,RepSeanMaloney,1072467470
Democratic,Bobby Rush,House,RepBobbyRush,305216911
Democratic,Brendan Boyle,House,RepBrendanBoyle,231108733
Democratic,Sylvia Garcia,House,RepSylviaGarcia,1080587263132733442
Republican,Kevin Brady,House,RepKevinBrady,19926675
Democratic,Carolyn Maloney,House,RepMaloney,258900199
Republican,Guy Reschenthaler,House,Reschenthaler,477223342
Democratic,Dutch Ruppersberger,House,Call_Me_Dutch,305620929
Republican,Bill Johnson,House,RepBillJohnson,211530910
Republican,Rick W. Allen,House,RepRickAllen,2964287128
Democratic,Jan Schakowsky,House,RepSchakowsky,85896319
Democratic,Haley Stevens,House,RepHaleyStevens,1076161611033968640
Democratic,Steve Cohen,House,RepCohen,162069635
Republican,Tony Gonzales,House,RepTonyGonzales,1343627416120532992
Republican,John Kennedy,Senate,SenJohnKennedy,816683274076614656
Democratic,Kweisi Mfume,House,RepKweisiMfume,1276209702322438148
Republican,Fred Keller,House,RepFredKeller,1136060761422405633
Republican,Steve Daines,Senate,SteveDaines,11651202
Republican,John Cornyn,Senate,JohnCornyn,13218102
Republican,Rodney Davis,House,RodneyDavis,993153006
Republican,Richard Hudson,House,RepRichHudson,935033864
Democratic,Bob Menendez,Senate,SenatorMenendez,18695134
Republican,Dan Meuser,House,RepMeuser,1080574793630527505
Democratic,Rashida Tlaib,House,RashidaTlaib,435331179
Republican,Steve Womack,House,rep_stevewomack,234469322
Democratic,Rick Larsen,House,RepRickLarsen,404132211
Republican,Jerry Carl,House,RepJerryCarl,1341091420439015424
Democratic,Emanuel Cleaver,House,Repcleaver,163570705
Republican,Marsha Blackburn,Senate,MarshaBlackburn,278145569
Democratic,Ann Kirkpatrick,House,Ann_Kirkpatrick,272004287
Republican,Bill Cassidy,Senate,SenBillCassidy,1017500185356853248
Democratic,Grace Meng,House,RepGraceMeng,1051127714
Republican,Steven Palazzo,House,CongPalazzo,299883942
Democratic,Brian Higgins,House,RepBrianHiggins,33576489
Democratic,Al Lawson,House,RepAlLawsonJr,818472418620608512
Republican,Ben Sasse,Senate,SenSasse,2962923040
Republican,Tom Cole,House,TomColeOK04,23124635
Independent,Angus King,Senate,SenAngusKing,1068481578
Democratic,Paul Tonko,House,RepPaulTonko,84119348
Republican,Tom Cotton,Senate,SenTomCotton,968650362
Republican,Scott Perry,House,RepScottPerry,18773159
Republican,Ken Buck,House,RepKenBuck,2862577383
Republican,James Lankford,Senate,SenatorLankford,225921757
Democratic,Joaquin Castro,House,JoaquinCastrotx,231510077
Republican,Bill Huizenga,House,RepHuizenga,233949261
Republican,David Kustoff,House,SenatorWicker,264219447
Republican,Jeff Van Drew,House,JoyceWhiteVance,548384458
Democratic,Maggie Hassan,Senate,SenatorHassan,946549322
Republican,Roger Wicker,Senate,SenatorWicker,264219447
Republican,Josh Hawley,Senate,SenHawleyPress,1080960924687704064
Republican,Michelle Fischbach,House,RepFischbach,1344375287484723205
Democratic,Mark Pocan,House,RepMarkPocan,1206227149
Democratic,John Hickenlooper,Senate,SenatorHick,1318728336923787264
Democratic,Jim Clyburn,House,JimClyburnSC1,914086647851085824
Democratic,Shontel Brown,House,RepShontelBrown,1456381091598700556
Republican,Brad Wenstrup,House,Repbradwenstrup,518644221
Republican,Fred Upton,House,RepFredUpton,124224165
Democratic,Eddie Bernice Johnson,House,RepEBJ,168502762
Democratic,Chuck Schumer,Senate,SenSchumer,17494010
Democratic,Joe Manchin,Senate,Sen_JoeManchin,234374703
Democratic,Danny K. Davis,House,RepDannyDavis,789244177
Democratic,Joseph Morelle,House,RepJoeMorelle,1064595993222615040
Republican,Beth Van Duyne,House,RepBethVanDuyne,1339633259349745670
Democratic,Nancy Pelosi,House,SpeakerPelosi,15764644
Republican,John Joyce,House,RepJohnJoyce,1082311988926124036
Democratic,Michael Bennet,Senate,SenatorBennet,224285242
Republican,Mike Turner,House,RepMikeTurner,51228911
Republican,Jodey Arrington,House,RepArrington,816284664658874368
Republican,Chris Stewart,House,RepChrisStewart,1072008757
Democratic,Chris Murphy,Senate,ChrisMurphyCT,150078976
Democratic,Barbara Lee,House,RepBarbaraLee,248735463
Republican,Billy Long,House,USRepLong,1444015610
Republican,Mike Kelly,House,MikeKellyPA,935368364
Democratic,Sanford Bishop,House,SanfordBishop,249410485
Republican,Burgess Owens,House,RepBurgessOwens,1344481217685692416
Republican,Randy Feenstra,House,RandyFeenstra,23764160
Republican,Ron Estes,House,RepRonEstes,854715071116849157
Democratic,Abigail Spanberger,House,RepSpanberger,1078771401497161728
Republican,Vern Buchanan,House,VernBuchanan,20467163
Republican,Bruce Westerman,House,RepWesterman,2852998461
Republican,Michael Waltz,House,Michaelgwaltz,833673914
Republican,John Katko,House,RepJohnKatko,2966765501
Democratic,Chris Van Hollen,Senate,ChrisVanHollen,18137749
Democratic,Brenda Lawrence,House,RepLawrence,2863006655
Democratic,Kirsten Gillibrand,Senate,SenGillibrand,72198806
Democratic,Val Demings,House,RepValDemings,798973032362606600
Republican,John Rutherford,House,Rutherford_Inst,68758400
Republican,Pat Fallon,House,RepPatFallon,1343258042704527362
Democratic,Marc Veasey,House,RepVeasey,1074129612
Republican,Darin LaHood,House,RepLaHood,3686482216
Republican,Paul Gosar,House,RepGosar,240760644
Republican,David Valadao,House,RepDavidValadao,1128514404
Democratic,Julia Brownley,House,RepBrownley,1243902714
Democratic,David Scott,House,Repdavidscott,168673083
Democratic,Jack Reed,Senate,SenJackReed,486694111
Republican,Steve Scalise,House,SteveScalise,1209417007
Democratic,Frank J. Mrvan,House,RepMrvan,1346205046036377601
Democratic,Ann McLane Kuster,House,RepAnnieKuster,1058717720
Republican,Carol Miller,House,RepCarolMiller,1081318716573470720
Democratic,Cori Bush,House,CoriBush,4696552878
Democratic,Gerry Connolly,House,GerryConnolly,78445977
Democratic,John Garamendi,House,RepGaramendi,88806753
Republican,Kevin Hern,House,Repkevinhern,1067818539179024386
Republican,Tim Burchett,House,RepTimBurchett,1028854804087492613
Republican,Greg Steube,House,RepGregSteube,1083125649609506816
Democratic,Brian Schatz,Senate,SenBrianSchatz,1262099252
Republican,Mike Garcia,House,RepMikeGarcia,1262531473057423361
Democratic,Catherine Cortez Masto,Senate,SenCortezMasto,811313565760163844
Democratic,Tom Malinowski,House,RepMalinowski,1080898026418384897
Republican,Ashley Hinson,House,RepAshleyHinson,1340783304304410625
Democratic,Jacky Rosen,Senate,SenJackyRosen,818554054309715969
Democratic,Filemon Vela Jr.,House,RepFilemonVela,1083448909
Republican,Troy Nehls,House,RepTroyNehls,1347318288850825217
Republican,Louie Gohmert,House,LouieGohmertTX1,4827594804
Democratic,Lisa Blunt Rochester,House,RepLBR,817050219007328258
Republican,August Pfluger,House,RepPfluger,1341120751399809026
Republican,Warren Davidson,House,WarrenDavidson,742735530287304704
Democratic,Troy Carter,House,RepTroyCarter,1352760304271241218
Republican,Cliff Bentz,House,RepBentz,1345788865911656454
Democratic,Frederica Wilson,House,RepWilson,234014087
Democratic,Conor Lamb,House,ConorLambPA,855240223432769538
Democratic,Linda Sánchez,House,RepLindaSanchez,312134473
Democratic,Peter Welch,House,PeterWelch,1410590874
Democratic,Patrick Leahy,Senate,SenatorLeahy,242836537
Republican,Ben Cline,House,RepBenCline,1072158357237174272
Republican,Bryan Steil,House,RepBryanSteil,1075205691621720064
Democratic,John Yarmuth,House,RepJohnYarmuth,384913290
Republican,John Barrasso,Senate,SenJohnBarrasso,202206694
Republican,Pete Stauber,House,RepPeteStauber,1075830599007510535
Democratic,Jim Cooper,House,Repjimcooper,22523087
Republican,Cynthia Lummis,Senate,CynthiaMLummis,1136711154435207168
Republican,Rand Paul,Senate,RandPaul,216881337
Republican,Robert Aderholt,House,Robert_Aderholt,76452765
Democratic,Peter DeFazio,House,RepPeterDeFazio,252249233
Democratic,Alex Padilla,Senate,SenAlexPadilla,1351236267707654145
Republican,Brian Fitzpatrick,House,RepBrianFitz,816303263586914304
Democratic,Mike Thompson,House,RepThompson,303861808
Democratic,Ben Ray Luján,Senate,SenatorLujan,19318314
Democratic,Martin Heinrich,Senate,MartinHeinrich,1099199839
Democratic,Mark DeSaulnier,House,RepDeSaulnier,2968007206
Democratic,Ami Bera,House,RepBera,950783972
Democratic,Sheldon Whitehouse,Senate,SenWhitehouse,242555999
Democratic,Madeleine Dean,House,RepDean,567508925
Democratic,Jeff Merkley,Senate,SenJeffMerkley,29201047
Democratic,Kyrsten Sinema,Senate,SenatorSinema,1080844782
Republican,James Comer,House,RepJamesComer,1274852794206388225
Democratic,Joyce Beatty,House,RepBeatty,1531521632
Democratic,Brad Sherman,House,BradSherman,30216513
Republican,Ted Cruz,Senate,SenTedCruz,1074480192
Democratic,Darren Soto,House,RepDarrenSoto,818713465653051392
Democratic,Anthony G. Brown,House,RepAnthonyBrown,823552974253342721
Republican,Tom Tiffany,House,RepTiffany,1267841066335682562
Republican,Van Taylor,House,RepVanTaylor,1075040139351597056
Democratic,Betty McCollum,House,BettyMcCollum04,516880804
Republican,Markwayne Mullin,House,RepMullin,1060370282
Republican,Barry Moore,House,RepBarryMoore,1339006078688825344
Republican,David Schweikert,House,RepDavid,229197216
Republican,Scott Fitzgerald,House,RepFitzgerald,1004891731
Republican,Nancy Mace,House,RepNancyMace,1343597700542038017
Republican,Mike Lee,Senate,SenMikeLee,88784440
Democratic,Mike Quigley,House,RepMikeQuigley,56864092
Democratic,Earl Blumenauer,House,repblumenauer,15954997
Republican,Mike Rogers,House,RepMikeRogersAL,33977070
Republican,Trey Hollingsworth,House,RepTrey,811986281177772032
Democratic,Bobby Scott,House,BobbyScott,161791703
Republican,Bob Good,House,RepBobGood,1345536897838436353
Democratic,Elaine Luria,House,RepElaineLuria,1080292515939565568
Republican,Daniel Webster,House,RepWebster,281540744
Democratic,Thomas Suozzi,House,RepTomSuozzi,816705409486618624
Democratic,Jake Auchincloss,House,RepAuchincloss,1330278736554582016
Republican,Ralph Norman,House,RepRalphNorman,880480631108644864
Democratic,Lucy McBath,House,RepLucyMcBath,1082380458976051202
Democratic,Eric Swalwell,House,RepSwalwell,942156122
Democratic,Suzanne Bonamici,House,RepBonamici,558769636
Democratic,Richard Blumenthal,Senate,SenBlumenthal,278124059
Democratic,Josh Gottheimer,House,RepJoshG,815310506596691968
Democratic,Mark Warner,Senate,MarkWarner,7429102
Republican,John Carter,House,JudgeCarter,18030431
Republican,Troy Balderson,House,RepBalderson,1037341536592310272
VACANT,VACANT,House,RepAdamSchiff,29501253
Democratic,Rosa DeLauro,House,Rosadelauro,140519774
Democratic,Ed Markey,Senate,SenMarkey,21406834
Republican,Richard Shelby,Senate,SenShelby,21111098
Democratic,Jared Golden,House,RepGolden,1080891667308298240
Republican,Debbie Lesko,House,RepDLesko,996094929733652481
Democratic,Sherrod Brown,Senate,SenSherrodBrown,43910797
Republican,Ted Budd,House,TedBuddNC,720353279176081408
Democratic,Ilhan Omar,House,IlhanMN,783792992
Democratic,Veronica Escobar,House,RepEscobar,1075517806551154689
Democratic,Alma Adams,House,RepAdams,2916086925
Democratic,Lauren Underwood,House,RepUnderwood,1080539438508400642
Democratic,Angie Craig,House,RepAngieCraig,1080222360643485698
Democratic,Brad Schneider,House,RepSchneider,1071840474
Democratic,Cindy Axne,House,RepCindyAxne,1080865917377097728
